Utterance Set,is_set,visId,dataset
total sales forecast by order date in 2016-2017,n,line,Superstore
total sales forecast by order date where year in 2016 or 2017,n,line,Superstore
Average Production Budget by Year,n,line,Movies
"make a simple line chart of the average of the Production Budget as a function of  Release Year.  | use no symbols, use a 1 pt line, and use gridlines for both average and release year.",y,line,Movies
Show me weight over year,n,line,Cars
Show the trend in average production budgets from 1995 to 2010.,n,line,Movies
Please show me how the average weights change in a timeline.,n,line,Cars
average weight over year,n,line,Cars
average weight over time,n,line,Cars
line chart of average weight over year,n,line,Cars
line chart of average weight over time,n,line,Cars
Plot the average production budget each year across all movies.,n,line,Movies
What is the relationship between release year and average production budget?,n,line,Movies
Weight of cars grouped by year,n,line,Cars
What is the sales forecast for each date?,n,line,Superstore
Create a line chart showing total sales forecast over time,n,line,Superstore
Create line graph | Axes are Order Date and SUM(Sales Forecast),y,line,Superstore
Show me the sales forecast for each order date,n,line,Superstore
What is the average weight distribution of cars between 1974 and 1980,n,line,Cars
Line chart to show average weight of cars based on the year in which they were produced,n,line,Cars
Visualize the general trend of car model weights over the years,n,line,Cars
Line graph of average Production Budget across Release Year,n,line,Movies
plot year by average weight,n,line,Cars
draw a line chart of daily sales forecasts,n,line,Superstore
show weight by year,n,line,Cars
how weight varies each year,n,line,Cars
Have cars gotten lighter over time?,n,line,Cars
Average weight over year,n,line,Cars
Line chart average weight over year,n,line,Cars
plot average production budget over release year,n,line,Movies
show me average production budget over release year,n,line,Movies
How production budge changes over release years?,n,line,Movies
What was the average production budget of movies by year?,n,line,Movies
I want to see trend of production budget by the release year,n,line,Movies
show the total number of sales forecast over time,n,line,Superstore
show me the average weight in a line chart,n,line,Cars
sales forecast between Jan 2016 and July 2017,n,line,Superstore
budget over time,n,line,Movies
plot average weight across time,n,line,Cars
show time series plot of average weight,n,line,Cars
production budget across years,n,line,Movies
Show me our forecasted number of sales between Jan 2016 and December 2017,n,line,Superstore
Draw the axes for the average of Weight vs Year,n,line,Cars
Draw the axes for AVG(Weight) vs Year,n,line,Cars
Product Sales Revenue by Month,n,line,Superstore
average weight by year ,n,line,Cars
Average budget by year,n,line,Movies
What is the average production budget in each year,n,line,Movies
Give me a line chart of average budget by year,n,line,Movies
Show the trend in the total sales from january to october 2017,n,line,Superstore
Plot Year by AVG Weight,n,line,Cars
line chart of AVG production budget of each release year,n,line,Movies
Display production budget by release date,n,line,Movies
"Groupby (Order Date) | For each Order Date, calculate sum of the sales forecast",y,line,Superstore
"Draw a line graph that connects all (order date, sum of sales forecast) pairs",n,line,Superstore
Sum(Sales Forecast) by Order Date asc render line,n,line,Superstore
Sum(Sales Forecast) by Order Date asc render best,n,line,Superstore
what is the average weight of cars over time,n,line,Cars
show me the average production budget by release year in a line chart,n,line,Movies
show year and avg(Weight) in a line chart,n,line,Cars
Show me average weight trended over ascending years,n,line,Cars
create a line graph of average weight by year,n,line,Cars
Show me the total sales forecast by order date,n,line,Superstore
Show me the cumulative sales by order date,n,line,Superstore
average production budget over time,n,line,Movies
average production budget by year,n,line,Movies
avg production budget over time,n,line,Movies
line chart sum of sales forecast vs. order date all orders,n,line,Superstore
"average production budget by year, 1995 to 2009",n,line,Movies
How does AVG (Weight) evolve over the years?,n,line,Cars
Line graph of year vs. average weight,n,line,Cars
Yearly average Production Budget,n,line,Movies
Avg weight by Year,n,line,Cars
line chart sum of sales forecast by order date,n,line,Superstore
show me a line plot of average movie production budget over time for all movies,n,line,Movies
show me small multiple scatter plots of movie production budget vs gross worldwide where each multiple is a specific rating,n,line,Movies
Show a line chart  the semi-annual sales forecast,n,line,Superstore
Linegraph SUM(Sales Forecast) by Order Date,n,line,Superstore
chart average weight over time,n,line,Cars
What is the average weight of cars by model year?,n,line,Cars
How has the average weight of cars changed over the years?,n,line,Cars
give me line charts of worldwide gross over year by major genres,n,multiLine,Movies
Line chart avg horsepower per year Color by origin,n,multiLine,Cars
plot worldwide gross over release year split by genre,n,multiLine,Movies
Multi-line Graph of Sum (Sales) by Category vs Order Date ,n,multiLine,Superstore
"Line chart, Sum of sales by order date, on category",n,multiLine,Superstore
"total sales by order date and category where category is furniture, office supplies, technology",n,multiLine,Superstore
time series: Sum(Worldwide Gross) by Release Year | group and color code by Major Genre,y,multiLine,Movies
plot a simple line chart that Sums the Worldwide Gross of major films versus release year parameterized by Major Genre. | Do not use symbols and show only major gridlines. Extend the axis to the labels. ,y,multiLine,Movies
Show how genres have been associated with worldwide grosses from 1995 to 2009.,n,multiLine,Movies
How do the horsepowers of the cars from different regions change with years?,n,multiLine,Cars
"average horsepower over years, colored by origin",n,multiLine,Cars
"average horsepower over time, colored by origin",n,multiLine,Cars
Plot the total worldwide gross over time for each major genre.,n,multiLine,Movies
What is the total worldwide gross for each major genre across time?,n,multiLine,Movies
What were the total sales for each date in each category?,n,multiLine,Superstore
How much was sold each day for each category?,n,multiLine,Superstore
"Create a line chart showing order date and sum of sales, divided by category",n,multiLine,Superstore
Create line graph | Axes are Order Date and SUM(Sales) | Color by category,y,multiLine,Superstore
"Show me the sales of furniture, office supplies, and technology over time",n,multiLine,Superstore
Through a visualization show average horsepower of cars for each country from 1997 to 2011,n,multiLine,Cars
"Line chart showing Year on X Axis and Average Horsepower on Y Axis', 'Different lines for different Origin",n,multiLine,Cars
Trend for average horsepower over time across different origin,n,multiLine,Cars
"Line graph of total Worldwide Gross by Major Genre, across Release Year",n,multiLine,Movies
plot year by average horsepower | color by origin,y,multiLine,Cars
"draw a line chart of monthly sales by order date, with a different colored line for each category",n,multiLine,Superstore
show how horsepower varies each year by origin,n,multiLine,Cars
How has horsepower changed over time by country? ,n,multiLine,Cars
Show worldwide gross timeline by movie genre,n,multiLine,Movies
Show a time series plot by year of the worldwide gross sum of movies by genre.,n,multiLine,Movies
"show the total sales over time as line chart for the categories furniture, office supplies, and technology",n,multiLine,Superstore
what is the sales trend of the different product categories?,n,multiLine,Superstore
Plot average horsepower across time by countries,n,multiLine,Cars
"For each country, show time series of average horse power",n,multiLine,Cars
"Draw axes for the average of Horsepower vs Year, colored by Origin",n,multiLine,Cars
"Draw axes for AVG(Horsepower) vs Year, colored by Origin",n,multiLine,Cars
Total gross by year and genre,n,multiLine,Movies
Total gross by genre and year,n,multiLine,Movies
Gross by genre and year,n,multiLine,Movies
"Gross, year and genre as a line chart",n,multiLine,Movies
show the trend in sales of all categories,n,multiLine,Superstore
Show the total gross across genres over time,n,multiLine,Movies
Group by Origin | plot Year by AVG Horsepower,y,multiLine,Cars
"line chart of total worldwide gross over each release year, line for each genre",n,multiLine,Movies
Sum(Sales)  by Order Date split by Category render line ,n,multiLine,Superstore
Sum(Sales)  by Order Date split by Category render line asc,n,multiLine,Superstore
"Show average horsepower over time, separated by country of origin",n,multiLine,Cars
gross per genre over time,n,multiLine,Movies
Show year and AVG(Horsepower) in line chart | Add origin to legend,y,multiLine,Cars
Show me the total worldwide gross over time by release year for the major genres,n,multiLine,Movies
"Show me the Average Horespower per origin, trended by ascending years",n,multiLine,Cars
release year vs worldwide gross in genres,n,multiLine,Movies
create a line graph of average horsepower by year grouped by origin,n,multiLine,Cars
"Show me the total sales by order date, one line for each category",n,multiLine,Superstore
Show me the total sales by order date split by category,n,multiLine,Superstore
"Show me the total sales over time for these categories: furniture, office supplies, and technology",n,multiLine,Superstore
ww gross over time by genre,n,multiLine,Movies
total worldwide gross by release year and major genre,n,multiLine,Movies
Create timeline of worldwide gross by release year displayed by major genre,n,multiLine,Movies
"line chart of sales vs. order date of furniture, office supplies, technology. Distnighish by color",n,multiLine,Superstore
line graph of worldwide gross for each genre for each year starting in 1995 to present,n,multiLine,Movies
worldwide gross for each genre for each year 1995 to now,n,multiLine,Movies
How has AVG (Horsepower) evolved over time? | Segregate it by the car origin.,y,multiLine,Cars
Line graph of year versus average horsepower by origin,n,multiLine,Cars
Worldwide Gross through time for each Major Genre,n,multiLine,Movies
Yearly Worldwide Gross for each Major Genre,n,multiLine,Movies
Average Horsepower per year and origin,n,multiLine,Cars
line chart sum of sales by order date categorized by category,n,multiLine,Superstore
show me how total gross revenue of all movies changes over a year for each genre,n,multiLine,Movies
show me a line plot of sum of gross revenue for each genre over time,n,multiLine,Movies
show me how gross revenue of genres changes over time,n,multiLine,Movies
show a line chart of semi sales by category,n,multiLine,Superstore
Category Line Graph Sum(Sales) by Order date,n,multiLine,Superstore
How has horsepower changed over time in each region?,n,multiLine,Cars
Relationship between IMDB Rating and Rotten Tomatoes Rating,n,scatter,Movies
Is there a correlation between acceleration and horsepower? ,n,scatter,Cars
show me imdb rating versus rotten tomatoes rating,n,scatter,Movies
give me a scatterplot of imdb rating as x axis and rotten tomatoes rating as y axis,n,scatter,Movies
show me a scatterplot | show me rating | show me rotten tomatoes rating,y,scatter,Movies
Acceleration by horsepower scatterplot,n,scatter,Cars
Acceleration by horsepower points,n,scatter,Cars
Plot IMDB rating against Rotten Tomatoes rating.,n,scatter,Movies
Scatter Plot of Sales vs Profit,n,scatter,Superstore
"Scatter plot, sales by profit",n,scatter,Superstore
plot profit amount by sales amount,n,scatter,Superstore
scatter IMDB Rating vs Rotten Tomatoes Rating,n,scatter,Movies
Make a simple scatter plot of Rotten Tomatoes Rating versus IMDB Rating.   | Use only major gridlines.,y,scatter,Movies
show me horsepower vs acceleration,n,scatter,Cars
Show how films' Rotten Tomato ratings compare with IMDB ratings.,n,scatter,Movies
what is the correlation between horsepower and acceleration?,n,scatter,Cars
"""Is there a correlation between cars' horsepower and acceleration?",n,scatter,Cars
Create a scatterplot of profit in columns and Sales in rows,n,scatter,Superstore
Create a scatterplot of profit in abscissa  and sales in ordinate ,n,scatter,Superstore
how does horsepower relate to acceleration for individual car models,n,scatter,Cars
"scatterplot of horsepower by acceleration, separated by individual models",n,scatter,Cars
Plot rotten tomatoes rating v.s. IMDB rating on a scatter plot.,n,scatter,Movies
Is there a relationship between IMDB rating and rotten tomatoes rating?,n,scatter,Movies
Does higher horsepower mean lower acceleration?,n,scatter,Cars
What is the relationship between profit and sales?,n,scatter,Superstore
Create a scatter plot showing profit vs. sales,n,scatter,Superstore
Create Scatterplot | X-axis is Profit | Y-axis is Sales,y,scatter,Superstore
Show me the profit versus sales,n,scatter,Superstore
Show the scatter plot between horse power and acceleration,n,scatter,Cars
What is the relation between horsepower and acceleration,n,scatter,Cars
Scatter plot to show horsepower on X axis and Acceleration on Y Axis,n,scatter,Cars
plot the distribution of acceleration v/s horsepower ,n,scatter,Cars
"Scatter plot, x axis horsepower, y axis acceleration",n,scatter,Cars
Scatterplot of Rotten Tomatoes Rating by IMDB Rating,n,scatter,Movies
plot horsepower by acceleration,n,scatter,Cars
"make a scatterplot of profit vs sales, with profit on x-axis",n,scatter,Superstore
how is acceleration related to horsepower,n,scatter,Cars
acceleration to horsepower,n,scatter,Cars
show scatter plot of accelration and horse power,n,scatter,Cars
"plot the (profit, sales) pairs.",n,scatter,Superstore
plot IMDB rating against rotten tomatoes rating,n,scatter,Movies
show sales and profit as a scatter plot,n,scatter,Superstore
Are IMDb rating and rotten tomatoes rating related,n,scatter,Movies
should me acceleration compared to horsepower in a scatter chart,n,scatter,Cars
Scatter plot of horsepower across acceleration,n,scatter,Cars
Rating of movies in IMBD and Rotten Tomatoes,n,scatter,Movies
Plot acceleration vs Horsepower,n,scatter,Cars
Show me profits by number of sales per product,n,scatter,Superstore
Profit vs. Sales Cluster,n,scatter,Superstore
horsepower by acceleration ,n,scatter,Cars
how does Rotten Tomatoes Rating change as IMDB Rating?,n,scatter,Movies
Compare imdb rating to rotten tomatoes rating,n,scatter,Movies
Show a scatter plot of imdb rating vs rotten tomatoes rating,n,scatter,Movies
Give me a scatter plot showing a comparison of ratings between imdb and rotten tomatoes,n,scatter,Movies
how much is the profit for sales for each,n,scatter,Superstore
scatter plot of IMDB rating vs Rotten tomatoes rating,n,scatter,Movies
Plot IMBD vs Rotten Tomatoes ratings for all movies,n,scatter,Movies
Help me see outliers in IMDB and Rotten Tomatoes ratings,n,scatter,Movies
Sum(Profit) and Sum(Sales) render cluster,n,scatter,Superstore
Sum(Profit) 1and Sum(Sales) 2 render cluster,n,scatter,Superstore
Sum(Profit) x and Sum(Sales) y render cluster,n,scatter,Superstore
each car's acceleation by horsepower,n,scatter,Cars
IMDB rating by rotten tomatoes rating,n,scatter,Movies
Show me a scatterplot of movies by imdb rating and rotten tomatoes rating,n,scatter,Movies
Show Horsepower by Acceleration in a XYplot,n,scatter,Cars
Show Me Acceleration vs. Horespower For each Model,n,scatter,Cars
acceleration vs horsepower,n,scatter,Cars
create a scatterplot of acceleration vs horsepower by model,n,scatter,Cars
Show me a scatter chart of sales by profit,n,scatter,Superstore
scatter of imdb rating by rotting tomatoes rating,n,scatter,Movies
imdb rating vs rotten tomatoes rating by movie,n,scatter,Movies
Create scatter graph of IMDB rating by Rotten Tomatoes Rating ,n,scatter,Movies
The distribution of profit and sales | Scatter plot,y,scatter,Superstore
Scatterplot of sales vs. profit,n,scatter,Superstore
relation between rotten tomatoes rating and IMDB rating,n,scatter,Movies
